year,temp
3150,-0.17383431642
3151,-0.161553114839
3152,-0.14942960241
3153,-0.137463779131
3154,-0.125655645003
3155,-0.114005200026
3156,-0.1025124442
3157,-0.0911773775244
3158,-0.08
3159,-0.0689803116265
3160,-0.0581183124039
3161,-0.0474140023321
3162,-0.0368673814113
3163,-0.0264784496413
3164,-0.0162472070222
3165,-0.00617365355401
3166,0.0037422107633
3167,0.0135003859297
3168,0.0231008719453
3169,0.0325436688099
3170,0.0418287765237
3171,0.0509561950866
3172,0.0599259244986
3173,0.0687379647597
3174,0.0773923158699
3175,0.0858889778293
3176,0.0942279506377
3177,0.102409234295
3178,0.110432828802
3179,0.118298734158
3180,0.125952081084
3181,0.133063653906
3182,0.139578583346
3183,0.145496869403
3184,0.150818512077
3185,0.155543511369
3186,0.159671867278
3187,0.163203579805
3188,0.166138648948
3189,0.16847707471
3190,0.170218857088
3191,0.171363996084
3192,0.171912491698
3193,0.171864343929
3194,0.171219552777
3195,0.169978118242
3196,0.168140040325
3197,0.165705319025
3198,0.162673954343
3199,0.159045946278
3200,0.15482129483
3201,0.15
3202,0.144582061787
3203,0.138567480192
3204,0.131956255213
3205,0.124748386853
3206,0.116943875109
3207,0.108542719983
3208,0.0995449214746
3209,0.0899504795833
3210,0.0797593943094
3211,0.0689716656529
3212,0.0575872936138
3213,0.045606278192
3214,0.0330286193876
3215,0.0198543172005
3216,0.00608337163084
3217,-0.00828421732145
3218,-0.0232484496564
3219,-0.0388093253739
3220,-0.0549668444741
3221,-0.0717210069569
3222,-0.0890718128223
3223,-0.10701926207
3224,-0.125102995359
3225,-0.142862653348
3226,-0.160298236036
3227,-0.177409743423
3228,-0.19419717551
3229,-0.210660532296
3230,-0.226799813782
3231,-0.242615019967
3232,-0.258106150852
3233,-0.273273206436
3234,-0.288116186719
3235,-0.302635091702
3236,-0.316829921385
3237,-0.330700675766
3238,-0.344247354847
3239,-0.357469958628
3240,-0.370368487108
3241,-0.382942940288
3242,-0.395193318167
3243,-0.407119620745
3244,-0.418721848023
3245,-0.43
3246,-0.440954076677
3247,-0.451584078053
3248,-0.461890004128
3249,-0.471871854903
3250,-0.481529630378
3251,-0.490863330552
3252,-0.499872955425
3253,-0.508558504998
3254,-0.51691997927
3255,-0.524957378241
3256,-0.532670701912
3257,-0.540059950283
3258,-0.547125123353
3259,-0.553866221122
3260,-0.560283243591
3261,-0.566376190759
3262,-0.572145062627
3263,-0.577589859194
3264,-0.58271058046
3265,-0.587507226426
3266,-0.591979797092
3267,-0.596128292456
3268,-0.5999622081
3269,-0.603491039603
3270,-0.606714786965
3271,-0.609633450185
3272,-0.612247029264
3273,-0.614555524202
3274,-0.616558934998
3275,-0.618257261654
3276,-0.619650504168
3277,-0.620738662541
3278,-0.621521736772
3279,-0.621999726863
3280,-0.622172632812
3281,-0.62204045462
3282,-0.621603192287
3283,-0.620860845812
3284,-0.619813415197
3285,-0.61846090044
3286,-0.616803301542
3287,-0.614840618502
3288,-0.612572851322
3289,-0.61
3290,-0.607122064537
